Date,Prev Close,Open,High,Low,Close,VWAP,Volume
2020-05-05,30.15,30.5,30.75,29.05,29.2,29.92,19121806
2020-05-06,29.2,29.2,29.6,28.5,29.35,29.09,18005225
2020-05-07,29.35,29.15,30.25,28.9,29.7,29.76,14841128
2020-05-08,29.7,29.85,30.2,29.05,29.2,29.61,14358405
2020-05-11,29.2,29.4,29.5,28.7,28.8,29.02,16325208
2020-05-12,28.8,28.5,29.2,27.9,28.7,28.4,21778060
2020-05-13,28.7,30.3,31.0,29.45,30.6,30.32,38941649
2020-05-14,30.6,30.15,30.55,29.1,29.3,29.85,22669990
2020-05-15,29.3,29.3,29.6,28.6,28.8,29.03,18837162
2020-05-18,28.8,28.9,28.95,26.75,27.35,27.49,28520480
2020-05-19,27.35,27.6,27.75,26.5,26.6,27.07,25290958
2020-05-20,26.6,26.6,26.9,26.3,26.6,26.65,17212634
2020-05-21,26.6,26.6,27.65,26.3,27.0,27.2,26590285
2020-05-22,27.0,26.7,27.65,26.4,26.65,26.94,27657300
2020-05-26,26.65,26.8,27.05,26.45,26.7,26.76,17287019
2020-05-27,26.7,26.7,27.65,26.55,27.5,27.09,27038152
2020-05-28,27.5,27.6,27.9,26.6,26.75,27.16,41841614
2020-05-29,26.75,26.65,27.35,26.35,26.75,26.84,35144094
2020-06-01,26.75,27.4,30.1,27.0,29.2,28.59,72825432
2020-06-02,29.2,29.3,29.7,28.6,29.25,29.21,40252959
2020-06-03,29.25,29.8,31.6,29.6,30.25,30.61,86256504
2020-06-04,30.25,29.95,32.6,29.7,31.0,31.48,127140495
2020-06-05,31.0,31.5,34.1,31.4,33.75,32.58,96121246
2020-06-08,33.75,35.5,35.5,32.25,32.6,33.74,103769333
2020-06-09,32.6,33.0,33.5,31.5,31.8,32.51,63890506
2020-06-10,31.8,32.0,34.1,31.65,33.85,33.02,83661053
2020-06-11,33.85,34.5,35.2,32.55,32.8,33.96,97140495
2020-06-12,32.8,31.0,33.2,30.9,33.05,32.15,51628669
2020-06-15,33.05,33.0,34.15,32.05,33.65,33.1,50674765
2020-06-16,33.65,34.5,34.85,31.9,33.15,33.29,62033451
2020-06-17,33.15,32.9,33.9,32.5,33.15,33.24,48130067
2020-06-18,33.15,33.1,34.2,32.9,33.9,33.65,41943348
2020-06-19,33.9,34.5,34.65,33.9,34.5,34.41,47810394
2020-06-22,34.5,35.85,36.0,35.0,35.8,35.46,89827765
2020-06-23,35.8,36.0,37.9,35.9,37.45,37.33,83932724
2020-06-24,37.45,38.0,38.4,36.25,36.5,37.46,70621046
2020-06-25,36.5,36.3,37.6,35.55,37.1,36.46,57453358
2020-06-26,37.1,37.65,37.95,36.4,36.6,37.03,37646225
2020-06-29,36.6,36.2,36.4,35.15,35.35,35.57,29070144
2020-06-30,35.35,35.8,36.15,34.55,34.75,35.28,22906506
2020-07-01,34.75,35.0,36.55,34.5,36.4,35.77,39414255
2020-07-02,36.4,36.6,37.05,36.1,36.25,36.52,26984207
2020-07-03,36.25,36.5,36.55,35.8,35.95,36.08,19474835
2020-07-06,35.95,36.25,37.3,36.0,37.1,36.72,36393791
2020-07-07,37.1,37.3,37.35,36.1,36.8,36.62,33770528
2020-07-08,36.8,36.65,38.75,36.6,37.25,38.03,81536986
2020-07-09,37.25,37.8,38.0,36.85,37.1,37.33,38094386
2020-07-10,37.1,35.85,36.1,34.6,35.05,35.18,101790235
2020-07-13,35.05,35.4,35.45,34.3,34.55,34.73,28823774
2020-07-14,34.55,34.4,34.45,33.4,33.55,33.67,22089308
2020-07-15,33.55,33.7,34.15,32.75,33.0,33.55,22967686
2020-07-16,33.0,33.0,33.45,32.25,33.25,32.85,17806806
2020-07-17,33.25,33.45,33.8,33.2,33.6,33.49,15740496
2020-07-20,33.6,33.9,34.75,33.6,34.55,34.14,19422998
2020-07-21,34.55,34.95,35.2,34.3,34.75,34.76,25336349
